# radius         dens           pres           temp        c12          ne20          ne22
4670
9.701517528948505e+04  4.625064900087396e+09  3.740252813803983e+27  8.068875086248158e+08  1.419300814066672e-01  2.873249556874743e-01  0.000000000000000e+00
1.222315933070678e+05  4.625047552878245e+09  3.740234025541179e+27  8.068856001826166e+08  1.419300816039353e-01  2.873249554095593e-01  0.000000000000000e+00
1.540024201840109e+05  4.625026897975502e+09  3.740211657157895e+27  8.068833936184323e+08  1.419300818575911e-01  2.873249550522036e-01  2.442490654175344e-15
1.940312854820711e+05  4.624994107503369e+09  3.740176149706029e+27  8.068799805936574e+08  1.419300822924661e-01  2.873249544395451e-01  0.000000000000000e+00
2.444648096738631e+05  4.624942052143587e+09  3.740119785542043e+27  8.068746835077118e+08  1.419300830380133e-01  2.873249533892059e-01  2.442490654175344e-15
3.080077229619960e+05  4.624859414502199e+09  3.740030314000788e+27  8.068664409584582e+08  1.419300843161361e-01  2.873249515885712e-01  0.000000000000000e+00
3.880681063632256e+05  4.624728229267482e+09  3.739888289263039e+27  8.068535842532488e+08  1.419300865071724e-01  2.873249485018218e-01  0.000000000000000e+00
4.889405391055421e+05  4.624519979143352e+09  3.739662845281561e+27  8.068334736796993e+08  1.419300902629044e-01  2.873249432107426e-01  2.442490654175344e-15
6.160371927483291e+05  4.624189396712626e+09  3.739304990965668e+27  8.068019785766951e+08  1.419300966999941e-01  2.873249341422383e-01  0.000000000000000e+00
7.761796586728489e+05  4.623664630842491e+09  3.738736972173528e+27  8.067525702524828e+08  1.419301077307708e-01  2.873249186023887e-01  0.000000000000000e+00
9.779679608139364e+05  4.622831643108327e+09  3.737835398126885e+27  8.066748966882453e+08  1.419301266280587e-01  2.873248919809403e-01  0.000000000000000e+00
1.232248179682760e+06  4.621509451963314e+09  3.736404489464215e+27  8.065526327235806e+08  1.419301589873460e-01  2.873248463963775e-01  2.442490654175344e-15
1.552706998607343e+06  4.619410881140405e+09  3.734133695810401e+27  8.063599739738663e+08  1.419302143596960e-01  2.873247683970647e-01  0.000000000000000e+00
1.956631570336114e+06  4.616080358654803e+09  3.730530628609296e+27  8.060560963976160e+08  1.419303090064073e-01  2.873246350847480e-01  0.000000000000000e+00
2.345474072031299e+06  4.611776940950494e+09  3.725876426972485e+27  8.056656436332864e+08  1.419304405137833e-01  2.873244498754697e-01  0.000000000000000e+00
2.636193528223603e+06  4.607537280597455e+09  3.721292654295378e+27  8.052821893169310e+08  1.419305774448926e-01  2.873242570543430e-01  2.442490654175344e-15
3.078240164300842e+06  4.601879988734266e+09  3.715178436441524e+27  8.047714711080542e+08  1.419307665871223e-01  2.873239907428672e-01  0.000000000000000e+00
3.706232353567658e+06  4.592193616027930e+09  3.704715670471694e+27  8.038989020414070e+08  1.419311050191803e-01  2.873235143303031e-01  0.000000000000000e+00
4.555604184738829e+06  4.576113217841393e+09  3.687362932328235e+27  8.024536657845161e+08  1.419316950782992e-01  2.873226839912559e-01  2.442490654175344e-15
5.171977915620556e+06  4.558693649383676e+09  3.668588310509435e+27  8.008891285345050e+08  1.419323657342959e-01  2.873217407781487e-01  0.000000000000000e+00
5.670132814961778e+06  4.543364589591176e+09  3.652086841912456e+27  7.995124185544521e+08  1.419329708869621e-01  2.873208900963366e-01  2.442490654175344e-15
6.363516532670185e+06  4.524443668727370e+09  3.631744688688585e+27  7.978120960405421e+08  1.419337292732795e-01  2.873198244644027e-01  0.000000000000000e+00
6.660795985633910e+06  4.508519785249561e+09  3.614646891395238e+27  7.963791197847571e+08  1.419343774186179e-01  2.873189143364788e-01  0.000000000000000e+00
6.934264139789706e+06  4.498381735649889e+09  3.603772081635106e+27  7.954664780340054e+08  1.419347918652378e-01  2.873183325450822e-01  2.442490654175344e-15
7.467114003570930e+06  4.482905211282265e+09  3.587186808805514e+27  7.940727559978535e+08  1.419354264607874e-01  2.873174419713735e-01  0.000000000000000e+00
7.707946737970171e+06  4.468150693119101e+09  3.571393216329398e+27  7.927415101088653e+08  1.419360339790032e-01  2.873165899071913e-01  0.000000000000000e+00
7.935073321397959e+06  4.458625288748313e+09  3.561206353324573e+27  7.918816524560273e+08  1.419364264107491e-01  2.873160396646116e-01  0.000000000000000e+00
8.355190725805632e+06  4.444751312768400e+09  3.546382121333928e+27  7.906288376520308e+08  1.419369979991598e-01  2.873152384401830e-01  0.000000000000000e+00
8.738286643514765e+06  4.427204523420805e+09  3.527655883697354e+27  7.890418407141827e+08  1.419377203171026e-01  2.873142264655195e-01  0.000000000000000e+00
9.074245941088077e+06  4.410873875445681e+09  3.510250049997484e+27  7.875625836881607e+08  1.419383910667058e-01  2.873132872119054e-01  0.000000000000000e+00
9.388068592887783e+06  4.395575438627358e+09  3.493964130842548e+27  7.861746563670794e+08  1.419390175409548e-01  2.873124103596078e-01  0.000000000000000e+00
9.683167905636866e+06  4.380801558178791e+09  3.478254818630955e+27  7.848327367413099e+08  1.419396203710038e-01  2.873115669747406e-01  0.000000000000000e+00
9.962186225413721e+06  4.366490288460344e+09  3.463054489602478e+27  7.835311873104994e+08  1.419402019728752e-01  2.873107536379021e-01  0.000000000000000e+00
1.024248499192699e+07  4.352180446555081e+09  3.447872526781606e+27  7.822281686233860e+08  1.419407809648462e-01  2.873099442880964e-01  0.000000000000000e+00
1.050908289913527e+07  4.337875231289872e+09  3.432712353188579e+27  7.809239500606657e+08  1.419413569317698e-01  2.873091395124391e-01  2.442490654175344e-15
1.076359837549994e+07  4.323944706351119e+09  3.417965514236154e+27  7.796520878235139e+08  1.419419149274804e-01  2.873083601732697e-01  0.000000000000000e+00
1.100736434466157e+07  4.310354830545037e+09  3.403594765592725e+27  7.784093773101400e+08  1.419424563847893e-01  2.873076042415842e-01  0.000000000000000e+00
1.140270460406592e+07  4.292350604797109e+09  3.384579650101041e+27  7.767609551907104e+08  1.419431696811210e-01  2.873066088019686e-01  0.000000000000000e+00
1.159120072911600e+07  4.275924597808026e+09  3.367254868531683e+27  7.752533956880561e+08  1.419438145073886e-01  2.873057095137012e-01  0.000000000000000e+00
1.177421160251591e+07  4.265156759693872e+09  3.355910081876075e+27  7.742642791170828e+08  1.419442350779401e-01  2.873051231672581e-01  0.000000000000000e+00
1.206742303684460e+07  4.251051222284642e+09  3.341063434201663e+27  7.729672216298705e+08  1.419447832539689e-01  2.873043591611216e-01  0.000000000000000e+00
1.220925643196789e+07  4.238177949367362e+09  3.327528306703478e+27  7.717808616071162e+08  1.419452796300295e-01  2.873036677099878e-01  0.000000000000000e+00
1.234814368513201e+07  4.229698434155644e+09  3.318620437925361e+27  7.709988482637358e+08  1.419456058565184e-01  2.873032133932374e-01  2.442490654175344e-15
1.266156447147446e+07  4.215730688951605e+09  3.303960281506545e+27  7.697096107643229e+08  1.419461429610858e-01  2.873024655881323e-01  2.442490654175344e-15
1.281312578438570e+07  4.201451309206017e+09  3.288989975676070e+27  7.683883348407614e+08  1.419466916862532e-01  2.873017020472737e-01  0.000000000000000e+00
1.296151230227313e+07  4.192048018179121e+09  3.279141087876765e+27  7.675173165609890e+08  1.419470526993124e-01  2.873011998476466e-01  2.442490654175344e-15
1.325997977908364e+07  4.177762543815711e+09  3.264192974139642e+27  7.661930543869668e+08  1.419476005719299e-01  2.873004379257189e-01  0.000000000000000e+00
1.354684890755446e+07  4.158943814791281e+09  3.244527641304303e+27  7.644441533489563e+08  1.419483209352431e-01  2.872994366998201e-01  2.442490654175344e-15
1.368629457163018e+07  4.145147306426357e+09  3.230129508873360e+27  7.631588063616023e+08  1.419488478482953e-01  2.872987047622334e-01  0.000000000000000e+00
